"mz","intensity","rt"
192.2604,3449,273
192.8944,28838,7
192.958,21710,21
192.9932,120401,4
192.9937,92898,99
192.9937,28070,175
192.9937,60146,140
193.0145,3964,417
193.0174,2944,277
193.0177,18004,32
193.0381,9235,137
193.0447,36779,273
193.0498,117861,143
193.0499,25670,168
193.0501,4895,133
193.0504,609758,196
193.0509,146901,95
193.054,3741,241
193.054,9079,155
193.0857,2460,127
193.086,3144,95
193.087,3831,269
193.0896,8726,290
193.1193,10225,408
193.1211,12020,417
193.1222,89077,358
193.1229,5933,452
193.1229,3408,324
193.1229,19349,503
193.123,15338,537
193.1591,24989,414
193.1591,7078,372
193.1592,5253,220
193.1597,3044,345
193.1636,13667,203
193.2691,3863,205
193.8149,5588,41
193.8151,22884,12
193.9916,19096,39
193.9919,109913,54
194.0214,5033,138
194.0282,5179,61
194.0451,3028,52
194.0572,7926,178
194.0613,210380,281
194.0613,3700,58
194.0614,73822,246
194.0614,843467,273
194.0614,25463,268
194.0617,39719,48
194.0618,6745,383
194.0618,5449,392
194.0624,5924,277
194.0624,3120,397
194.0813,67958,455
194.0814,3031,366
194.0816,58652,387
194.0818,20589,65
194.0818,8748,109
194.082,88631,516
194.0823,3496,133
194.0823,33828,475
194.0824,2431,163
194.1742,23732,272
194.2811,11890,272
194.563,7818,282
194.8837,23261,2
194.9267,37556,41
194.9271,13220,166
194.9279,4097,130
194.9553,3972,22
194.9742,11131,45
195.0295,20797,64
195.0298,171833,100
195.0477,3467,43
195.0495,9390,209
195.0497,6037,194
195.0515,231998,299
195.052,802695,286
195.0524,559920,295
195.0529,369147,281
195.0552,4374,203
195.0595,3318,289
195.0635,17102,28
195.0659,47190,354
195.066,20188,145
195.0661,4839,128
195.0663,24417,53
195.0689,84648,198
195.0693,21648,235
195.0844,6005,518
195.0847,4733,387
195.0853,5221,454
195.1021,35159,132
195.1021,21814,394
195.1023,2825,334
195.1023,57889,524
195.1024,3814,271
195.1025,3228,456
195.1383,35402,340
195.1384,12623,324
195.1384,6847,155
195.1384,1512,390
195.1385,158977,376
195.1386,8090,237
195.1387,200872,410
195.1387,17541,301
195.1387,6253,555
195.1387,5267,459
195.1388,18640,213
195.1388,2914,548
195.1389,6382,183
195.1389,9266,197
195.1389,300095,262
195.1391,24298,510
195.1393,99205,543
195.1639,7159,281
195.164,20391,286
195.164,10181,294
195.1749,21681,376
195.1751,2272,349
195.1753,31617,218
195.1754,15931,27
195.2517,5356,263
195.2724,7067,286
195.8111,254193,13
195.8112,200708,39
196.0249,8417,41
196.0252,6336,67
196.0537,7108,280
196.5517,4009,294
196.9837,3013,175
196.9838,3738,293
196.984,7431,193
196.9842,5200,237
196.9844,4878,255
197.0291,3458,196
197.0443,11162,68
197.0449,2756,135
197.1175,5949,392
197.1177,10373,313
197.1178,17009,316
197.1178,10210,77
197.1179,25127,427
197.1179,5613,297
197.118,27381,310
197.118,96003,377
197.118,11490,461
197.1181,26842,137
197.1181,14718,182
197.1182,6789,173
197.1182,26010,307
197.1182,16203,117
197.1182,9605,308
197.1182,21676,304
197.1182,59558,475
197.1183,2862,200
197.1183,29859,309
197.1183,35813,155
197.1183,20225,163
197.1183,51258,144
197.1184,14148,68
197.1184,22055,86
197.1185,25203,361
197.1536,3804,401
197.1537,6279,479
197.1539,9258,285
197.154,14268,522
197.154,5101,415
197.154,12575,330
197.1541,13741,313
197.1541,3305,195
197.1542,5508,364
197.1542,11633,424
197.1543,102770,497
197.1544,14081,139
197.8049,3921,119
197.8058,4260,127
197.8061,3638,134
197.8072,392602,9
197.8073,213498,18
197.8075,3299,162
197.8076,276500,39
197.8078,19703,51
197.9196,4829,22
198.1218,3211,375
198.1224,2397,431
198.1494,2143,265
198.1586,4743,496
198.8075,1781,20
198.94,8355,133
198.9406,4790,76
199.0432,12263,235
199.0764,7443,268
199.0969,12598,111
199.1328,3860,170
199.1332,2894,431
199.1334,3019,607
199.1334,21675,236
199.1336,128415,239
199.1336,36232,210
199.1336,4055,161
199.1336,182391,195
199.1336,32174,177
199.1336,56191,217
199.1337,2523,307
199.1337,132699,192
199.1337,91265,190
199.1337,17039,91
199.1337,20275,186
199.1337,252304,232
199.1338,49707,234
199.1338,9394,465
199.1338,3212,369
199.1338,24635,201
199.1339,45376,268
199.134,258211,197
199.134,76790,205
199.134,24308,247
199.1341,9833,182
199.1347,3297,407
199.1699,14228,583
199.1702,6356,531
199.1703,35978,513
199.1704,32318,454
199.1704,2108085,560
199.1705,25664,546
199.1709,17266,491
199.2842,36592,560
199.3927,9314,560
199.8048,118930,39
199.8049,156187,13
200.002,42489,113
200.1296,30452,160
200.13,16610,172
200.1369,10554,235
200.137,11371,198
200.1734,52888,561
200.1736,3284,453
200.9377,8194,133
200.9707,3224,112
200.9957,36699,161
201.0247,4505,814
201.0249,3611,39
201.025,4645,883
201.025,0,951
201.0251,109370,929
201.0252,6140,1000
201.0253,12051,17
201.0515,22854,275
201.0519,8383,292
201.056,33740,315
201.0563,16853,204
201.0691,7089,267
201.07,257841,296
201.0763,3060,41
201.0925,20831,167
201.1124,426154,156
201.1126,23043,91
201.1126,197776,142
201.1128,29614,183
201.1129,228858,177
201.1129,10482,346
201.1129,7653,437
201.1129,16481,310
201.1129,86197,86
201.113,44154,95
201.113,16173,484
201.113,6013,461
201.1131,27875,356
201.1131,15350,194
201.1133,33752,116
201.1137,2678,267
201.1143,5727,419
201.1148,30938,47
201.1486,18486,218
201.149,29583,241
201.149,474215,237
201.1491,75099,255
201.1493,132398,245
201.1496,63299,239
201.1496,10591,231
201.2268,11620,155
201.8011,47461,8
201.8012,12373,17
201.9813,3429,177
202.0177,6497,56
202.0506,33096,197
202.0508,81145,220
202.0569,9187,273
202.0591,321436,343
202.0595,887813,327
202.0595,149962,356
202.0598,323269,319
202.0599,153715,338
202.06,1282536,324
202.069,19717,296
202.1083,6187,67
202.1097,10800,259
202.1163,6608,145
202.1166,3070,184
202.1528,10626,250
202.1735,72017,321
202.1741,14932,341
202.2813,6093,350
202.2817,29372,323
202.3832,3325,324
202.9842,5005,393
202.9843,4713,403
202.9844,3049,649
202.9845,0,602
202.9845,0,634
202.9846,0,642
202.9846,0,525
202.9851,0,656
202.9852,0,263
202.9852,3895,454
202.9853,4110,428
202.9854,5412,539
202.9854,0,277
202.9855,0,909
202.9855,5212,371
202.9855,3784,491
202.9856,3070,531
202.9857,0,546
202.986,0,559
202.9862,0,612
202.9864,60794,948
202.9864,0,940
202.9865,59449,949
202.9865,0,941
202.9865,16133,55
202.9866,8727,9
202.9866,0,246
202.9866,0,942
202.9866,4188,591
202.9866,52383,934
202.9866,8660,31
202.9866,0,621
202.9867,50097,23
202.9867,31729,939
202.9867,13000,80
202.9867,25843,41
202.9867,18804,20
202.9867,54285,924
202.9868,9554,33
202.9868,20880,51
202.9868,52876,888
202.9868,0,13
202.9868,15527,1
202.9868,29312,123
202.9868,0,35
202.9868,178852,93
202.9868,117408,938
202.9868,100398,29
202.9868,12644,158
202.9868,0,34
202.9869,48292,825
202.9869,3502,573
202.9869,328490,936
202.9869,56572,1015
202.9869,122247,943
202.987,0,17
202.987,92457,944
202.987,70550,47
202.9871,21790,36
202.9871,0,961
202.9871,86838,940
202.9872,41124,942
202.9872,39237,939
202.9872,0,416
202.9872,3253,509
202.9872,54813,942
202.9872,5361,411
202.9873,9996,62
202.9873,0,947
202.9873,3232,628
202.9873,0,943
202.9874,30539,941
202.9874,87709,931
202.9875,6011,341
202.9875,3563,481
202.9875,131607,135
202.9876,8094,535
202.9876,3521,594
202.9877,0,474
202.9878,17640,44
202.9878,3272,356
202.9879,0,543
202.988,0,227
202.9881,0,423
202.9882,75247,171
202.9883,3144,312
202.9885,3160,605
202.9888,0,440
202.9888,0,434
202.9889,0,406
202.9889,3151,610
202.989,0,451
202.989,4048,581
202.989,0,185
202.989,3977,587
202.989,0,460
202.989,0,256
202.9891,0,398
202.9892,6248,497
202.9892,0,323
202.9895,0,145
202.9895,0,195
202.9904,17287,53
202.9918,10105,162
203.0014,5593,277
203.0014,5656,249
203.0017,4388,296
203.002,3933,262
203.0191,7605,57
203.0345,18818,116
203.0485,2707,81
203.0841,24335,66
203.09,3345,57
203.0919,18013,42
203.0927,3387,24
203.1071,3238,413
203.1227,11203,148
203.128,13938,57
203.1287,10554,229
203.1798,3145,592
204.0297,8508,118
204.0304,5085,146
204.0314,84768,49
204.067,3921,96
204.0807,3199,210
204.1153,22742,410
204.1156,4944,381
204.9109,16685,62
204.946,31165,111
204.9808,6122,45
205.0348,12474,47
205.0503,8918,99
205.0503,11270,208
205.0534,6330,184
205.0536,6717,79
205.0864,33269,145
205.0873,3037,301
205.0885,4976,317
205.108,76745,96
205.1221,16557,416
205.1228,5391,480
205.1232,4510,239
205.1237,3618,207
205.1587,3565,451
205.1593,6811,379
205.1593,48955,559
205.1594,7103,400
205.1595,6536,568
205.1596,28808,463
205.1597,900805,619
205.1597,4065,285
205.1598,12946,578
205.1599,24197,428
205.1599,25967,511
205.16,209151,642
205.16,19727,520
205.16,11946,514
205.2744,14143,633
205.839,15325,48
205.9606,5045,91
205.9767,3948,131
206.0456,69476,71
206.0456,27536,50
206.0459,6623,62
206.0577,3131,39
206.0817,7227,52
206.0821,1702,79
206.0823,25043,68
206.1623,3098,511
206.163,27725,641
206.1632,26561,606
206.9432,18232,111
206.9958,36021,217
206.996,585534,290
206.9962,101039,236
206.9963,51037,208
206.9963,99231,228
206.9963,1644677,314
206.9964,30238,270
207.0004,105374,39
207.0078,121915,3
207.0085,70637,97
207.0086,24161,174
207.0086,38977,139
207.0286,19899,60
207.029,14409,65
207.0291,36301,51
207.0292,16335,260
207.0654,15661,155
207.0655,9669,189
207.0657,7637,895
207.0657,5714,203
207.0658,21445,125
207.0659,5348,751
207.0659,4824,789
207.066,333958,264
207.066,9052,42
207.0661,7388,804
207.0663,27827,100
207.0663,3701,704
207.0666,27158,239
207.0683,1794224,148
207.069,66962,168
207.0691,11561,218
207.0695,26560,114
207.1012,6071,290
207.1018,7452,529
207.1022,6582,396
207.1022,20018,300
207.1024,14624,194
207.1025,102567,147
